ts_utc,item_id,upgrade_type,upgrade_subtype,from_star,to_star,close_price,lowest_price,highest_price,enhancement_count,timeframe,url
2025-10-24T12:57:46.016194+00:00,1032136,0,,13,14,369923.898615,0.0,0.0,,20m,https://msu.io/navigator/item/1032136?itemUpgrade=13&itemUpgradeSubType=&itemUpgradeType=0
2025-10-24T12:57:49.068297+00:00,1032136,0,,14,15,369443.896043,0.0,0.0,,20m,https://msu.io/navigator/item/1032136?itemUpgrade=14&itemUpgradeSubType=&itemUpgradeType=0
2025-10-24T12:57:52.121434+00:00,1032136,0,,15,16,723333.035062,0.0,0.0,,20m,https://msu.io/navigator/item/1032136?itemUpgrade=15&itemUpgradeSubType=&itemUpgradeType=0
2025-10-24T12:57:55.284618+00:00,1032136,0,,16,17,713904.536002,0.0,0.0,,20m,https://msu.io/navigator/item/1032136?itemUpgrade=16&itemUpgradeSubType=&itemUpgradeType=0
2025-10-24T12:57:58.873289+00:00,1032136,0,,17,18,655494.164874,0.0,0.0,,20m,https://msu.io/navigator/item/1032136?itemUpgrade=17&itemUpgradeSubType=&itemUpgradeType=0
2025-10-24T12:58:01.905562+00:00,1032136,0,,18,19,655494.164874,0.0,0.0,,20m,https://msu.io/navigator/item/1032136?itemUpgrade=18&itemUpgradeSubType=&itemUpgradeType=0
2025-10-24T12:58:05.031881+00:00,1032136,0,,19,20,655494.164874,0.0,0.0,,20m,https://msu.io/navigator/item/1032136?itemUpgrade=19&itemUpgradeSubType=&itemUpgradeType=0
2025-10-24T12:58:36.667554+00:00,1032136,1,5062009,,,62215.876158,62219.665078,62219.665078,7.0,20m,https://msu.io/navigator/item/1032136?itemUpgrade=0&itemUpgradeSubType=5062009&itemUpgradeType=1
2025-10-24T12:58:39.717258+00:00,1032136,1,5062010,,,106228.967792,106110.689914,106214.698546,7.0,20m,https://msu.io/navigator/item/1032136?itemUpgrade=0&itemUpgradeSubType=5062010&itemUpgradeType=1
2025-10-24T12:58:42.709888+00:00,1032136,1,5062500,,,60897.688703,0.0,0.0,,20m,https://msu.io/navigator/item/1032136?itemUpgrade=0&itemUpgradeSubType=5062500&itemUpgradeType=1
